,title,context,label
0,โพสต์สุดท้าย “สมเกียรติ โอสถสภา” อย่าชักศึกเข้าบ้านเพื่อเอาชนะทางการเมือง,“สมเกียรติ โอสถสภา” เสียชีวิต ฝากข้อความสุดท้ายถึงคนไทย โลกเปลี่ยนไปเยอะและกำลังจะเปลี่ยนครั้งใหญ่ ตีโจทย์ดี ๆ อย่าชักศึกเข้าบ้านเพียงเพื่อจะเอาชนะกันทางการเมือง ช่วยกันดูให้สงครามไม่มาลงย่านนี้,การเมือง
1,"""กองทัพ"" แจงไม่ออกหมายจับ ""พระเนติวิทย์"" ไม่มาเกณฑ์ทหาร","ทบ.แจงผู้ขาดการตรวจเลือกทหารเกณฑ์ทหาร 66 ทางเขต/อำเภอจะเชิญมาสอบสวนสาเหตุ ส่วน “พระเนติวิทย์"" หมดผ่อนผัน และไม่มาตรวจเลือกก็จะเชิญมาสอบ เหมือนทุกคน ยืนยันไม่มีการออกหมายจับตามที่มีข่าวคลาดเคลื่อน",การเมือง
2,บทวิเคราะห์ : เพื่อไทยหวัง “ปังสุดกู่” แจกเงินดิจิทัล 1 หมื่น,พรรคเพื่อไทยเปิดนโยบายล่าสุด สร้างความฮือฮาไปทั่ว เมื่อประกาศแจกเงินดิจิทัล 1 หมื่นบาทให้กับคนไทยที่อายุ 16 ปีขึ้นไป หวังกระตุ้นเศรษฐกิจในระดับฐานรากของประเทศ,การเมือง
3,กกต.สรุปเบื้องต้นขอใช้สิทธิเลือกตั้งล่วงหน้ากว่า 2.1 ล้านคน,"กกต.สรุปเบื้องต้นลงทะเบียนเพื่อขอใช้สิทธิเลือกตั้งล่วงหน้า2566 ตั้งแต่ 25 มี.ค.-9 เม.ย.วันสุดท้ายเบื้องต้นรวม 2.1 ล้านคน โดยพบเลือกตั้งนอกราชอาณาจักร 111,069 คน",การเมือง
4,"""สุดารัตน์"" ขอเป็นทางเลือกใหม่ ”ทางรอดประเทศไทย” พาพ้นการเมือง 2 ขั้ว",“สุดารัตน์” หลั่งน้ำตากลางเวที สกลนคร หลังคนตะโกนเชียร์ “คุณหญิงหน่อย นายกฯ คนอีสาน” ระบุ ไทยสร้างไทยขอเป็นทางเลือกใหม่ ”ทางรอดประเทศไทย” พร้อมสู้เพื่อ ”ชัยชนะของประชาชน” พาพ้นสงครามการเมือง 2 ขั้ว,การเมือง
5,“นพ.ชลน่าน” ระบุ “ชัยเกษม” อาการไม่น่าห่วง ยังพูดได้ปกติ,“ชลน่าน” อัพเดทอาการ “ชัยเกษม” แคนดิเดตนายกฯ เพื่อไทย บอกโดยรวมไม่มีอะไรน่าห่วง พูดคุยได้ปกติ มีอาการหลงลืม-เดินเซ เล็กน้อย ตอนนี้แพทย์ดูแลใกล้ชิด,การเมือง
6,“เศรษฐา” ขอบคุณโพลหนุนเป็นนายกฯ พร้อมแจงซ้ำกรณีเงินดิจิทัล,"“เศรษฐา” ขอบคุณโพลอุบลฯ หนุนเป็นนายกฯ ขึ้นอันดับ 4 บอกถือเป็นกำลังใจ ลุยหาเสียงรับฟังปัญหาจากประชาชนช่วง 30 วัน โค้งสุดท้าย ชี้ผลเลือกตั้ง 14 พ.ค.นี้จะเป็นสิ่งชี้ขาด “ชลน่าน” มั่นใจ หลังปล่อยนโยบายกระเป๋าเงินดิจิทัล 10,000 บาท โพลนิยมเพื่อไทยจะสูงขึ้น",การเมือง
7,“เศรษฐา” ขอคนแพร่ กาให้ “เพื่อไทย” ยกจังหวัด จ่อเปิดตลาดอาหาร-ผลไม้ เพิ่มอีก,“เศรษฐา” ควงผู้สมัคร ส.ส.แพร่ เดินตลาดทุ่งโฮ้ง ดูแหล่งผลิตใหญ่ที่สุดในภาคเหนือ เล็งต่อยอด-ส่งออก ก่อนบุกสวนผลไม้ อาสาเปิดตลาด ตปท.ส่งผลผลิตไทย อ้อนขอคะแนนเสียงชาวแพร่ยกจังหวัด เพื่อผลักดันนโยบาย ซัด “ประยุทธ์” ไม่เคยเปิดตลาดใหม่ไปแต่ประเทศหรู แนะไปแอฟริกา,การเมือง
8,"กองทัพภาค 3 ""ขอโทษ"" ปมแม่พา ""อ็อฟ"" ป่วยติดเตียงเกณฑ์ทหาร","รองโฆษกกองทัพภาคที่ 3 แถลงขอโทษครอบครัว ""อ็อฟ-ธนกฤต"" อดีตนักแสดงภาพยนตร์ที่ป่วยติดเตียงหลังประสบอุบัติเหตุ มารับการเกณฑ์ทาร ชี้เป็นการปฏิบัติตามกฎหมายแต่สร้างความลำบากให้ผู้ปกครองจริง ชี้เคสอื่นให้แจ้งกรรมการตรวจเลือกได้",การเมือง
9,“นอท” หาเสียงตลาดเช้า คนทักทาย-ขอถ่ายรูปคึกคัก ระบุถึงเวลาต้องเปลี่ยนแปลงแล้ว,“นอท” ลงพื้นที่หาเสียงตลาดเช้า เสียงตอบรับดี ลั่นถึงเวลาคนรุ่นใหม่มาเปลี่ยนแล้ว บอกปลื้มคนชอบนโยบายของพรรค,การเมือง
